En el quinto filtro se busca obtener los anuncios que tengan 1 baño o que sean superhost pero con la condición de que todos sean instant bookable
,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2186,1112208997161720921,https://www.airbnb.com/rooms/1112208997161720921,20240923134023,2024-09-23,city scrape,Sunny&Cosy Single Bedroom-Redland-Near City Center,"Sunny, light, cosy and comfortable single bedroom, situated on the ground floor, with a single bed.  <br /><br />Work desk, chest of drawers and a view on the front garden with shared bathroom with Bath & shower.  <br /><br />Includes use of fibre WIFI, living room with E-TV, kitchen/diner, utility room with washing machine and dryer, and garden.<br /><br />Cleaners come once a week for the common area.<br /><br />Stay over 4 weeks<br />Welcome with 32% DISCOUNT",,https://a0.muscache.com/pictures/miso/Hosting-1112208997161720921/original/7e5f0425-f6e8-4c2f-95b8-161158613474.jpeg,119508990,https://www.airbnb.com/users/show/119508990,Sarah,2017-03-06,"Bristol, United Kingdom","I'm Sarah, I'm French and I live in Bristol (UK) with my 4 girls and our bunny.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/ca3b6f18-29ff-459d-b061-7ccab9600095.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ca3b6f18-29ff-459d-b061-7ccab9600095.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,,Redland,,51.47088737294083,-2.600518573016355,Private room in home,Private room,1,1.5,1.5 baths,1.0,1.0,"[""Oven"", ""Books and reading material"", ""Dining table"", ""Dishwasher"", ""Room-darkening shades"", ""Stove"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Paid parking off premises"", ""Paid parking on premises"", ""Indoor fireplace"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""Outdoor furniture"", ""Refrigerator"", ""Washer"", ""TV"", ""Drying rack for clothing"", ""Shower gel"", ""Mini fridge"", ""Coffee maker: pour-over coffee"", ""Smoke alarm"", ""Body soap"", ""Piano"", ""Iron"", ""Lock on bedroom door"", ""Lockbox"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""Luggage dropoff allowed"", ""First aid kit"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""Clothing storage"", ""Dryer"", ""Backyard"", ""Self check-in"", ""Cleaning products"", ""Board games"", ""Outdoor playground"", ""Baking sheet"", ""Hangers"", ""Sun loungers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$50.00,7,1125,3.0,8.0,1125.0,1125.0,7.0,1125.0,,t,6,21,21,21,2024-09-23,6,6,0,2024-03-24,2024-07-10,5.0,4.83,4.83,4.83,4.83,5.0,4.83,,t,2,0,2,0,0.98
2187,1112336494757667171,https://www.airbnb.com/rooms/1112336494757667171,20240923134023,2024-09-23,city scrape,Park Place - 1 Bedroom Apartment by Mint Stays,"Introducing Park Place, our ground floor, 1 bedroom apartment in St. George, Bristol.<br /><br />Choose Park Place for the ideal couple stay, finished to a boutique standard with a flat screen TV, the fluffiest towels and convenient amenities.<br /><br />Park Place sleeps up to 2 with a super king bed, 1 bathroom and a lovely outdoor space. Park Place is the perfect base for adventures in Bristol, Bath and beyond.",,https://a0.muscache.com/pictures/miso/Hosting-1112336494757667171/original/70d18faf-bb0a-4d12-a20f-f03abd9c3ec6.jpeg,466884270,https://www.airbnb.com/users/show/466884270,Mint Stays,2022-06-30,,"We are a boutique holiday-let company based in the South West of England...Perfect for any occasion, we offer luxurious accommodation across Bath & Bristol...Our properties range from studio space for 2, all the way up to accommodation for 14 people...At Mint Stays we pride ourselves in always going above and beyond - nothing is too much trouble...Jon and the team look forward to having the opportunity to host you very soon!",within an hour,94%,99%,t,https://a0.muscache.com/im/pictures/user/c3f20be7-d395-424e-a071-06f286094d2e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c3f20be7-d395-424e-a071-06f286094d2e.jpg?aki_policy=profile_x_medium,,48,48,"['email', 'phone', 'work_email']",t,t,,St George West,,51.46064,-2.5464,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Oven"", ""Books and reading material"", ""Dining table"", ""Stove"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Bed linens"", ""Hair dryer"", ""Conditioner"", ""Refrigerator"", ""TV"", ""Shower gel"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Body soap"", ""Lockbox"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Coffee"", ""Clothing storage"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Ethernet connection"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$110.00,2,365,2.0,2.0,99.0,99.0,2.0,99.0,,t,29,59,89,179,2024-09-23,3,3,0,2024-07-09,2024-08-11,4.0,3.33,5.0,5.0,4.67,5.0,3.67,,t,26,26,0,0,1.17
2188,1112812088540083195,https://www.airbnb.com/rooms/1112812088540083195,20240923134023,2024-09-23,city scrape,Park Place - 1 Bedroom Apt. by Mint Stays,"BRAND NEW!! Introducing Park Place, our ground floor, 1 bedroom apartment in St. George, Bristol.<br /><br />Choose Park Place for the ideal couple stay, finished to a boutique standard with a flat screen TV, the fluffiest towels and convenient amenities.<br /><br />Park Place sleeps up to 4 with a super king bed, a double sofa bed, 1 bathroom and a lovely outdoor space. Park Place is the perfect base for adventures in Bristol, Bath and beyond.",,https://a0.muscache.com/pictures/miso/Hosting-1112812088540083195/original/35064848-9cb6-40c4-898d-a016a7b099d7.jpeg,466884270,https://www.airbnb.com/users/show/466884270,Mint Stays,2022-06-30,,"We are a boutique holiday-let company based in the South West of England...Perfect for any occasion, we offer luxurious accommodation across Bath & Bristol...Our properties range from studio space for 2, all the way up to accommodation for 14 people...At Mint Stays we pride ourselves in always going above and beyond - nothing is too much trouble...Jon and the team look forward to having the opportunity to host you very soon!",within an hour,94%,99%,t,https://a0.muscache.com/im/pictures/user/c3f20be7-d395-424e-a071-06f286094d2e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c3f20be7-d395-424e-a071-06f286094d2e.jpg?aki_policy=profile_x_medium,,48,48,"['email', 'phone', 'work_email']",t,t,,St George West,,51.46056,-2.54662,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Oven"", ""Books and reading material"", ""Dining table"", ""Stove"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Bed linens"", ""Hair dryer"", ""Conditioner"", ""Refrigerator"", ""TV"", ""Shower gel"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Body soap"", ""Lockbox"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Coffee"", ""Clothing storage"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Ethernet connection"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$200.00,1,365,1.0,1.0,1.0,1.0,1.0,1.0,,t,29,59,89,179,2024-09-23,0,0,0,,,,,,,,,,,t,26,26,0,0,
2189,1112878626423721250,https://www.airbnb.com/rooms/1112878626423721250,20240923134023,2024-09-23,city scrape,Stylish Flat in Bristol - Parking - Sleeps 9,"★ Special Offer Available ★<br /><br />🏳 Pass The Property 🏳<br /><br />🗝 2 Bedroom Apartment<br />🗝 Sleeps Up to 9 Guests<br />🗝 Bedroom 1 - 1 x double bed<br />🗝 Bedroom 2 - 1 x single bed, 1 x double bed<br />🗝 Living Room - 2 x Sofa Beds<br />🗝 Free WiFi<br />🗝 Parking<br />🗝 Professionally Cleaned<br />🗝 Fully Equipped Kitchen<br />🗝 Garden",,https://a0.muscache.com/pictures/miso/Hosting-1112878626423721250/original/f498ba5b-eccb-4286-99e5-e791f48457d0.jpeg,152788806,https://www.airbnb.com/users/show/152788806,Pass The Property,2017-10-01,"Leeds, United Kingdom","We PASS THE PROPERTY are the UKs Number 1 Luxury Serviced Accommodation Management Company.

Thank you for choosing one of our lovely places to stay.

We are operational in 25 cities in the UK and manage  2 properties in Australia, maximising our clients yields. Get in touch for more information.  

Complete end to end management for 14%+VAT fixed fee nationwide. 

Check us out on your favourite search engine ",within an hour,99%,100%,f,https://a0.muscache.com/im/pictures/user/ea1e5ef4-1490-42e0-b545-4c7f64dcdbb3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ea1e5ef4-1490-42e0-b545-4c7f64dcdbb3.jpg?aki_policy=profile_x_medium,,190,343,"['email', 'phone', 'work_email']",t,t,,Knowle,,51.43714,-2.56978,Entire rental unit,Entire home/apt,9,1.0,1 bath,2.0,5.0,"[""Oven"", ""Dining table"", ""Stove"", ""Freezer"", ""Wine glasses"", ""Hot water"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Refrigerator"", ""Washer"", ""TV"", ""Smoke alarm"", ""Iron"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Private entrance"", ""Long term stays allowed"", ""Clothing storage"", ""Free parking on premises"", ""Hangers"", ""Wifi"", ""Essentials"", ""Hot water kettle"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$158.00,2,365,2.0,2.0,365.0,365.0,2.0,365.0,,t,21,27,27,27,2024-09-23,7,7,3,2024-04-30,2024-09-08,4.71,4.57,4.29,5.0,5.0,4.71,4.57,,t,23,23,0,0,1.43
2197,1115079997086784602,https://www.airbnb.com/rooms/1115079997086784602,20240923134023,2024-09-23,city scrape,September Discount - Long Stay - Contractors,"BOOK TODAY at Short Stays Bristol Serviced Accommodation & Apartments<br /><br />- Spacious Flat<br />- Sleeps Up to 2 guests<br />- 1 bedroom: 2 Single beds<br />- 1 bath<br />- Super fast Free Wi-Fi<br />- Fully Equipped Kitchen<br />- Professionally Cleaned<br /><br />- We welcome Families, Friends, Business Travellers & Contractors<br />- If you have any questions, please message us.","Welcome to your cozy retreat nestled in the heart of Bristol's vibrant St Paul's neighborhood. Situated at Flat B, 26 City Rd, this spacious flat offers a haven for up to two guests, making it perfect for couples or solo travelers seeking comfort and convenience. Step inside to discover a welcoming ambiance and ample space to unwind after a day of exploring the city. The bedroom boasts two comfortable single beds, ensuring a restful night's sleep for all.",https://a0.muscache.com/pictures/prohost-api/Hosting-1115079997086784602/original/880f9f2e-35cd-4c01-82a5-b2174efdb369.png,90684209,https://www.airbnb.com/users/show/90684209,Neil,2016-08-18,"England, United Kingdom",,within an hour,92%,97%,f,https://a0.muscache.com/im/pictures/user/User-90684209/original/108074d6-3fa9-47d9-bafc-68a1586e26af.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-90684209/original/108074d6-3fa9-47d9-bafc-68a1586e26af.jpeg?aki_policy=profile_x_medium,,75,93,"['email', 'phone']",t,t,Neighborhood highlights,Ashley,,51.46204,-2.58824,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Dining table"", ""Wine glasses"", ""Hot water"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""Washer"", ""Smoke alarm"", ""Body soap"", ""Cooking basics"", ""HDTV"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Self check-in"", ""Cleaning products"", ""Smart lock"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating""]",$77.00,7,1125,2.0,14.0,365.0,365.0,13.2,365.0,,t,0,0,0,266,2024-09-23,3,3,0,2024-04-21,2024-07-14,3.67,4.33,4.33,3.67,2.67,4.0,4.0,,t,25,25,0,0,0.58
2202,1118160983990884911,https://www.airbnb.com/rooms/1118160983990884911,20240923134023,2024-09-23,city scrape,FREE Parking New Luxurious House,"Welcome to our stunning and spacious Airbnb nestled in the vibrant city of Bristol! Situated in a charming neighborhood, our one-bedroom retreat is the perfect blend of comfort and style for your stay.",,https://a0.muscache.com/pictures/miso/Hosting-1118160983990884911/original/ebf5448d-b475-4a80-8457-91336cd5e5c3.jpeg,389808641,https://www.airbnb.com/users/show/389808641,Andrei,2021-02-23,,"Explore our diverse range of properties with great amenities across UK for both short stays and longer visits .  

Your comfort is our priority. Our dedicated team works tirelessly to ensure that every guest enjoys a pleasurable stay.  Our guest communications team is just a message away, ready to assist and ensure your expectations are not only met but exceeded. Your satisfaction is our mission, and we look forward to hosting you at Regal Stay.",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/User-389808641/original/7a55f949-d7fe-4a0c-900c-d33ed6dd7191.png?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-389808641/original/7a55f949-d7fe-4a0c-900c-d33ed6dd7191.png?aki_policy=profile_x_medium,,24,47,"['email', 'phone']",t,t,,Clifton Down,,51.46479,-2.60803,Entire home,Entire home/apt,8,1.0,1 bath,1.0,4.0,"[""Oven"", ""Dining table"", ""Stove"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Exterior security cameras on property"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""Noise decibel monitors on property"", ""Outdoor furniture"", ""Refrigerator"", ""Washer"", ""TV"", ""Shower gel"", ""Smoke alarm"", ""Body soap"", ""Iron"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Outdoor dining area"", ""Barbecue utensils"", ""Carbon monoxide alarm"", ""Private entrance"", ""Coffee"", ""Long term stays allowed"", ""Clothing storage"", ""Dryer"", ""Private backyard \u2013 Fully fenced"", ""BBQ grill"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$85.00,1,365,1.0,2.0,365.0,365.0,2.0,365.0,,t,16,40,70,243,2024-09-23,0,0,0,,,,,,,,,,,t,4,4,0,0,
2207,1120066794872156232,https://www.airbnb.com/rooms/1120066794872156232,20240923134023,2024-09-23,city scrape,Harbourside Haven - One Bed Apartment with Balcony,"Situated just a stones throw from King Street and Queens Square, my home in central Bristol has so much to do and explore right on the doorstep. This one bed, one bath apartment is the perfect place to soak in all the best aspects of Bristol on foot and experience city living.","From the apartment you can walk to all the harbourside and city centre attractions including the SS Great Britain, M Shed, Millenium Square, The Old Vic Theatre, The Hippodrome, Colston Hall, St Nick’s Market and the main shopping area. <br /><br />A longer walk takes you up the hill to The University, Cabot Tower and to Clifton Village. Close by there are a wide selection of places to eat and drink including local pubs, harbourside cafes and restaurants including the Michelin Star Casa Mia Restaurant.",https://a0.muscache.com/pictures/prohost-api/Hosting-1120066794872156232/original/08e41e92-e986-4fbe-94fc-d2b763ad1555.jpeg,568037751,https://www.airbnb.com/users/show/568037751,Ankur,2024-03-20,,,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/4ed4bfa7-1cb3-49d2-946c-ca8c07857a67.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4ed4bfa7-1cb3-49d2-946c-ca8c07857a67.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Central,,51.45006,-2.59077,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Oven"", ""Clothing storage: wardrobe"", ""Dining table"", ""Dishwasher"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Conditioner"", ""Refrigerator"", ""Washer"", ""Shower gel"", ""Lockbox"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""Coffee"", ""Dryer"", ""Self check-in"", ""Cleaning products"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Elevator""]",$82.00,1,1125,2.0,4.0,365.0,365.0,3.4,365.0,,t,22,31,31,31,2024-09-23,14,14,4,2024-04-11,2024-09-02,4.64,4.71,4.93,4.64,4.79,5.0,4.64,,t,1,1,0,0,2.53
2215,1124620435742321908,https://www.airbnb.com/rooms/1124620435742321908,20240923134023,2024-09-23,city scrape,Twin room in family home.,"Newly decorated loft bedroom with twin beds  in family home. Child friendly listing. Optional toddler bed. Space to relax or work with desk, tea and coffee making facilities. <br /><br />In the famous Gloucester Road district of Bristol. Less than two min walk to the longest  high road of independent shops in Europe. Easy reach of local cafes, restaurants, pubs and bars. <br /><br />Easy reach of City Centre, Ministry of Defence, Stokes Croft, Henleaze, Filton, Airbus, M5 and M4.",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTEyNDYyMDQzNTc0MjMyMTkwOA%3D%3D/original/60baa4a8-9a89-4194-92e5-10f84ee358ba.jpeg,129545442,https://www.airbnb.com/users/show/129545442,Ellen,2017-05-09,"Bristol, United Kingdom",,within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/bf1cd887-0190-43f2-a02f-60adedf3f348.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bf1cd887-0190-43f2-a02f-60adedf3f348.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Redland,,51.47882,-2.59144,Private room in home,Private room,2,1.0,1 bath,1.0,2.0,"[""Hot water"", ""Portable heater"", ""Bed linens"", ""Refrigerator"", ""Washer"", ""Ceiling fan"", ""Smoke alarm"", ""Iron"", ""Bathtub"", ""Free street parking"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Extra pillows and blankets"", ""Host greets you"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""Clothing storage"", ""Central heating"", ""Free parking on premises"", ""Hangers"", ""Wifi"", ""Hot water kettle"", ""Dishes and silverware""]",$40.00,1,20,1.0,1.0,20.0,20.0,1.0,20.0,,t,24,49,79,79,2024-09-23,54,54,11,2024-04-20,2024-09-22,4.85,4.87,4.62,4.91,4.91,4.85,4.91,,t,1,0,1,0,10.32
2217,1124717862928703942,https://www.airbnb.com/rooms/1124717862928703942,20240923134023,2024-09-23,city scrape,15% OFF| 3 Bed|Weekly|Contractors|Business|Family,"Welcome to our modern and inviting house in Bristol - the perfect place to stay for contractors, families, and friends. We welcome you to enjoy our warm hospitality.<br /><br />Unlock Up to 30% Discount for Weekly and Monthly Stays!<br /><br />➞ Tailored for Business, Relocations and Contractors<br /><br />➞ Enjoy the Comfort of a 3-Bed Retreat<br /><br />➞ Accommodates Up to 6 Guests Comfortably<br /><br />➞ Prefect For Families & Contractors<br /><br />➞ Quick access to the Bristol City Centre<br /><br />➞ 8 min drive away from Temple Mead Bus & train station","This property is a 7 minute drive from Cabot Circus, where you can find the central hub of Bristol with a range of shops, restaurants, takeaways and many other amenities. <br /><br />Temple Meads Bus & Train Station is also a 7 minute drive away. Victoria Park is just a 20 minute walk away.",https://a0.muscache.com/pictures/miso/Hosting-1124717862928703942/original/f34ec3fd-944d-49c1-964f-2d467810ef05.png,529719340,https://www.airbnb.com/users/show/529719340,Joel,2023-08-03,"Bristol, United Kingdom","Hi my names Joel! Welcome to AltoLuxoExperience. Our goal at ALE is to deliver the best service possible. We welcome Solo Travellers, Contractors, Families, Large Groups and more. We encourage contacting us directly for longer term bookings and repeat bookings for discounted rates.

If you want further information, please contact us directly through the information in our profile photo or find us at AltoLuxoExperience - Short Term Let’s Bristol.",within an hour,100%,90%,t,https://a0.muscache.com/im/pictures/user/User/original/2c551717-782f-41b2-8cdf-0793520e985b.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/2c551717-782f-41b2-8cdf-0793520e985b.jpeg?aki_policy=profile_x_medium,,13,13,"['email', 'phone']",t,t,Neighborhood highlights,Knowle,,51.429439,-2.5767052,Entire home,Entire home/apt,6,1.5,1.5 baths,3.0,3.0,"[""Kitchen"", ""Lockbox"", ""Backyard"", ""Free parking on premises"", ""Self check-in"", ""Cooking basics"", ""Refrigerator"", ""Washer"", ""TV"", ""Exterior security cameras on property"", ""First aid kit"", ""Wifi"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Smoke alarm"", ""Dedicated workspace""]",$168.00,4,365,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,7,36,66,66,2024-09-23,4,4,0,2024-04-23,2024-08-04,5.0,4.75,5.0,4.75,5.0,4.75,4.75,,t,9,9,0,0,0.78
2222,1125849887699315545,https://www.airbnb.com/rooms/1125849887699315545,20240923134023,2024-09-23,city scrape,Refurbished 3 bedroom home with parking,"Relax in this refurbished home. <br />Situated in south Bristol within walking distance to local amenities. <br />There are good public transport links into central Bristol, only 3 miles away and is only 6 miles from Bristol airport.<br />There are 3 bedrooms, 1 with a king size bed and 2 with double beds. Upstairs bathroom and downstairs shower room. <br />Kitchen diner with a utility room and separate living room.","The property is in Whitchurch, south Bristol.",https://a0.muscache.com/pictures/hosting/Hosting-1125849887699315545/original/9a46ed68-cb51-4e27-9206-9f656e416c15.jpeg,267411486,https://www.airbnb.com/users/show/267411486,Lucy,2019-06-09,"Bristol, United Kingdom",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-267411486/original/e89a7fb4-1840-42ea-83f9-b5da9ea627b5.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-267411486/original/e89a7fb4-1840-42ea-83f9-b5da9ea627b5.jpeg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,Neighborhood highlights,Hengrove & Whitchurch Park,,51.413835,-2.575149,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,"[""Hot water"", ""Exterior security cameras on property"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Washer"", ""TV"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Bathtub"", ""Host greets you"", ""Carbon monoxide alarm"", ""Clothing storage"", ""Free parking on premises"", ""Cleaning products"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Heating""]",$146.00,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,19,49,79,259,2024-09-23,18,18,3,2024-05-17,2024-09-20,5.0,5.0,5.0,4.94,5.0,4.89,5.0,,t,2,2,0,0,4.15
2223,1125968972553865878,https://www.airbnb.com/rooms/1125968972553865878,20240923134023,2024-09-23,city scrape,15%OFF|1Bed|Studio Apart|Central Location|WIFI,"Welcome to our modern and inviting Studio Apartment in Bristol - the perfect place to stay for contractors, professionals and couples. We welcome you to enjoy our warm hospitality.<br /><br />Seamless Stays for Every Need, Weekly or Monthly <br /><br />4 Night Stay ➞ 15% OFF<br /><br />➞ Quick access to the Bristol City Centre<br /><br />➞ 8 min drive away from Temple Mead Bus & train station<br /><br />➞ 7 minute drive from Cabot Circus<br /><br />➞ Victoria Park is just a 20 minute walk away",,https://a0.muscache.com/pictures/miso/Hosting-1125968972553865878/original/c0123fe7-d9fc-4093-9f7a-55b81b27aeb8.png,529719340,https://www.airbnb.com/users/show/529719340,Joel,2023-08-03,"Bristol, United Kingdom","Hi my names Joel! Welcome to AltoLuxoExperience. Our goal at ALE is to deliver the best service possible. We welcome Solo Travellers, Contractors, Families, Large Groups and more. We encourage contacting us directly for longer term bookings and repeat bookings for discounted rates.

If you want further information, please contact us directly through the information in our profile photo or find us at AltoLuxoExperience - Short Term Let’s Bristol.",within an hour,100%,90%,t,https://a0.muscache.com/im/pictures/user/User/original/2c551717-782f-41b2-8cdf-0793520e985b.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/2c551717-782f-41b2-8cdf-0793520e985b.jpeg?aki_policy=profile_x_medium,,13,13,"['email', 'phone']",t,t,,Knowle,,51.429439,-2.5767052,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Kitchen"", ""Lockbox"", ""Free parking on premises"", ""Self check-in"", ""Cooking basics"", ""Washer"", ""TV"", ""Exterior security cameras on property"", ""First aid kit"", ""Wifi"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Dedicated workspace""]",$84.00,4,365,4.0,4.0,365.0,1125.0,4.0,931.1,,t,26,56,86,86,2024-09-23,1,1,0,2024-04-10,2024-04-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,9,9,0,0,0.18
2229,1128904196595121026,https://www.airbnb.com/rooms/1128904196595121026,20240923134023,2024-09-23,city scrape,"Spacious, Modern 2-bedroom. Parking+Wi-Fi+65""OLED","Enjoy a delightful stay in our modern 2 bedroom flat for your Bristol trip. The flat is equipped with fast Wifi, a dedicated workspace and high-end TV to make your stay comfortable and productive. Well appointed kitchen, free parking (by arrangement) with electric charge point. Our apartment is a short walk from Clifton village and the Downs with lots of restaurants, shops, cafes, museums & bars. A great location for you to discover Bristol the best way. We look forward to hosting you!",,https://a0.muscache.com/pictures/prohost-api/Hosting-1128904196595121026/original/8d1784bc-9754-434b-a7d0-644a4ec844ca.jpeg,570883168,https://www.airbnb.com/users/show/570883168,Simon,2024-04-06,,,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/724656c6-8e39-4fa9-a191-0bfda434faca.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/724656c6-8e39-4fa9-a191-0bfda434faca.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Clifton Down,,51.465777,-2.613673,Entire rental unit,Entire home/apt,6,2.0,2 baths,2.0,4.0,"[""EV charger - level 2"", ""Books and reading material"", ""Private patio or balcony"", ""Dining table"", ""Laundromat nearby"", ""Dishwasher"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Room-darkening shades"", ""Clothing storage: wardrobe and dresser"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Exterior security cameras on property"", ""Wine glasses"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""Coffee maker: Nespresso"", ""Outdoor furniture"", ""65 inch HDTV with premium cable"", ""Refrigerator"", ""Free driveway parking on premises"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Body soap"", ""Free dryer \u2013 In unit"", ""Children\u2019s dinnerware"", ""Iron"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""Keypad"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""First aid kit"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dedicated workspace"", ""Coffee"", ""Central heating"", ""Self check-in"", ""Cleaning products"", ""Board games"", ""Hangers"", ""Electric stove"", ""Radiant heating"", ""Ethernet connection"", ""Essentials"", ""Wifi"", ""Shampoo"", ""Stainless steel single oven"", ""Fire extinguisher"", ""Dishes and silverware"", ""Microwave""]",$94.00,1,1125,1.0,3.0,3.0,1125.0,2.9,105.7,,t,20,43,61,322,2024-09-23,16,16,4,2024-04-29,2024-09-22,5.0,5.0,4.88,4.94,5.0,5.0,4.88,,t,1,1,0,0,3.24
