,host_name,host_since,host_location,host_response_time,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,price,has_availability,license,instant_bookable,first_review,last_review,host_response_rate,host_acceptance_rate,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
1645,Ben,2016-02-09,"Bristol, United Kingdom",within an hour,t,Not specified,"['email', 'phone']",t,t,No specified,Cotham,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""Paid parking on premises"", ""Lockbox"", ""Central heating"", ""Self check-in"", ""Cooking basics"", ""Dishes and silverware"", ""Washer"", ""TV"", ""Hot water"", ""Wifi"", ""Essentials"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Body soap""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2023-04-23,2024-09-20,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,40.0,3.7,,,,,,,,4.4
1646,Matilda,2015-12-20,"England, United Kingdom",within an hour,f,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Knowle,Entire home,Entire home/apt,1 bath,"[""Dining table"", ""Laundromat nearby"", ""Dishwasher"", ""Freezer"", ""Wine glasses"", ""Hot water"", ""Coffee maker: french press"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Clothing storage: closet and dresser"", ""Outdoor furniture"", ""Refrigerator"", ""Washer"", ""Blender"", ""Smoke alarm"", ""Piano"", ""Iron"", ""Lockbox"", ""Baby safety gates"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Sound system"", ""First aid kit"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Bikes"", ""Carbon monoxide alarm"", ""Private entrance"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Central heating"", ""Cleaning products"", ""Smeg double oven"", ""Self check-in"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Essentials"", ""Hot water kettle"", ""Dishes and silverware"", ""Standalone high chair - always at the listing""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2023-07-16,2023-08-06,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
1647,Simon,2016-05-27,"Bristol, United Kingdom",within an hour,f,Not specified,"['email', 'phone']",t,f,Neighborhood highlights,Brislington West,Private room in home,Private room,1 shared bath,"[""Kitchen"", ""Outdoor furniture"", ""Free parking on premises"", ""Washer"", ""TV"", ""BBQ grill"", ""First aid kit"", ""Wifi"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Dedicated workspace""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,31/12/2030,31/12/2030,,,21.2,51.5,-2.5515546,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
1648,Gerrie,2018-09-03,"Bristol, United Kingdom",within an hour,t,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Lawrence Hill,Private room in home,Private room,1 shared bath,"[""Cleaning available during stay"", ""Private patio or balcony"", ""Laundromat nearby"", ""Portable fans"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Coffee maker: french press"", ""Bed linens"", ""Conditioner"", ""Kitchenette"", ""Washer"", ""TV"", ""Shower gel"", ""Mini fridge"", ""Smoke alarm"", ""Lec refrigerator"", ""Iron"", ""Private backyard"", ""Lock on bedroom door"", ""Bathtub"", ""Toaster"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Host greets you"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""Clothing storage"", ""Dryer"", ""Shared gym nearby"", ""Cleaning products"", ""Hangers"", ""Wifi"", ""Body soap"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2023-04-28,2024-08-21,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,41.0,3.7,,,,,,,,4.4
1649,Becky,2016-08-24,"Bristol, United Kingdom",within an hour,f,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Clifton,Entire rental unit,Entire home/apt,1 bath,"[""Oven"", ""Dining table"", ""Portable fans"", ""Stove"", ""Wine glasses"", ""Hot water"", ""Exterior security cameras on property"", ""Bed linens"", ""Portable heater"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""Free dryer"", ""Outdoor furniture"", ""Clothing storage: dresser"", ""Refrigerator"", ""Washer"", ""TV"", ""Drying rack for clothing"", ""Shower gel"", ""Smoke alarm"", ""Body soap"", ""Iron"", ""Private backyard"", ""Lockbox"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Luggage dropoff allowed"", ""First aid kit"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Pack \u2019n play/Travel crib - available upon request"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dedicated workspace"", ""Long term stays allowed"", ""Central heating"", ""Self check-in"", ""Cleaning products"", ""Baking sheet"", ""Hangers"", ""BBQ grill"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,t,2023-05-07,2024-09-15,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,91.0,33.9,3.7,,,,,,,,5.4
1650,Matthew,2023-04-17,"Bristol, United Kingdom",within an hour,f,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Ashley,Entire home,Entire home/apt,1 bath,"[""Clothing storage: wardrobe"", ""Private patio or balcony"", ""Dining table"", ""Laundromat nearby"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Hot water"", ""Housekeeping available every day - available at extra cost"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""42 inch HDTV with Amazon Prime Video, Netflix"", ""Gas stove"", ""Outdoor furniture"", ""Refrigerator"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Iron"", ""Paid street parking off premises"", ""Lockbox"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""First aid kit"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Private entrance"", ""Coffee"", ""Long term stays allowed"", ""Crib"", ""Cleaning products"", ""Self check-in"", ""Stainless steel oven"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""BBQ grill"", ""Wifi"", ""Essentials"", ""Hot water kettle"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,t,2023-05-30,2024-09-20,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,109.0,33.9,3.7,,,,,,,,4.4
1651,Elliot,2019-03-03,"Bath, United Kingdom",within an hour,f,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Horfield,Entire home,Entire home/apt,2.5 baths,"[""Oven"", ""Private patio or balcony"", ""Dining table"", ""Laundromat nearby"", ""Dishwasher"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""45 inch HDTV with Netflix, standard cable"", ""Refrigerator"", ""Washer"", ""Shower gel"", ""Smoke alarm"", ""Body soap"", ""Iron"", ""Lockbox"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Coffee"", ""Long term stays allowed"", ""Clothing storage"", ""Central heating"", ""Self check-in"", ""Cleaning products"", ""Baking sheet"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Ethernet connection"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,t,2023-05-22,2024-07-21,,,21.2,51.49552,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
1652,Mary,2016-11-10,"England, United Kingdom",within an hour,f,Not specified,"['email', 'phone']",t,t,No specified,Ashley,Entire condo,Entire home/apt,1 bath,"[""Oven"", ""Smoking allowed"", ""Dining table"", ""Dishwasher"", ""Portable fans"", ""Stove"", ""Freezer"", ""Wine glasses"", ""Hot water"", ""Coffee maker"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Refrigerator"", ""Washer"", ""TV"", ""Drying rack for clothing"", ""Smoke alarm"", ""Body soap"", ""Iron"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""First aid kit"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Private entrance"", ""Central heating"", ""Free parking on premises"", ""Cleaning products"", ""Baking sheet"", ""Private backyard \u2013 Fully fenced"", ""BBQ grill"", ""Wifi"", ""Essentials"", ""Hot water kettle"", ""Fire extinguisher"", ""Dishes and silverware""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2023-05-07,2023-06-04,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
1653,Hopewell,2016-03-31,"Bristol, United Kingdom",within an hour,f,Not specified,"['email', 'phone']",t,t,No specified,Windmill Hill,Entire rental unit,Entire home/apt,1 bath,"[""Oven"", ""Stove"", ""Hot water kettle"", ""Hot water"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Refrigerator"", ""Washer"", ""TV"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Dryer"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Elevator"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,t,2023-10-08,2024-08-31,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
1654,India,2021-09-17,No location,within an hour,f,Not specified,"['email', 'phone']",t,t,No specified,Lawrence Hill,Entire rental unit,Entire home/apt,2 baths,"[""Private patio or balcony"", ""Dishwasher"", ""Freezer"", ""Wine glasses"", ""Hot water"", ""Paid parking on premises"", ""Kitchen"", ""Refrigerator"", ""Washer"", ""TV"", ""Drying rack for clothing"", ""Smoke alarm"", ""Lockbox"", ""Bathtub"", ""Long term stays allowed"", ""Central heating"", ""Free parking on premises"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Coffee maker: espresso machine"", ""Stainless steel single oven"", ""Hot water kettle"", ""Dishes and silverware"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,t,2024-07-14,2024-09-08,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
1655,James,2014-09-11,"Bristol, United Kingdom",within an hour,f,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Redland,Entire guesthouse,Entire home/apt,1 bath,"[""Standalone high chair - available upon request"", ""Free washer \u2013 In building"", ""Children\u2019s books and toys for ages 0-2 years old"", ""Dishwasher"", ""Laundromat nearby"", ""Room-darkening shades"", ""Hot water kettle"", ""Wine glasses"", ""Hot water"", ""Exterior security cameras on property"", ""Trash compactor"", ""Outlet covers"", ""Bed linens"", ""Hair dryer"", ""Baby monitor"", ""Kitchen"", ""Conditioner"", ""Gas stove"", ""Double oven"", ""Outdoor furniture"", ""TV"", ""Drying rack for clothing"", ""Baby bath - available upon request"", ""Changing table - available upon request"", ""Shower gel"", ""EV charger"", ""Smoke alarm"", ""Record player"", ""Fire pit"", ""Lockbox"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Babysitter recommendations"", ""Luggage dropoff allowed"", ""First aid kit"", ""Extra pillows and blankets"", ""Barbecue utensils"", ""Pack \u2019n play/Travel crib - available upon request"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Clothing storage"", ""Microwave"", ""Dometic refrigerator"", ""Self check-in"", ""Cleaning products"", ""Outdoor playground"", ""Shared backyard \u2013 Fully fenced"", ""Shared patio or balcony"", ""Hangers"", ""BBQ grill"", ""Radiant heating"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Children\u2019s bikes""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2023-04-30,2023-10-01,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
1656,Kate,2014-11-22,"Bristol, United Kingdom",within an hour,f,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Bedminster,Entire home,Entire home/apt,1 bath,"[""Oven"", ""Dining table"", ""Dishwasher"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Bed linens"", ""Kitchen"", ""Shampoo"", ""Outdoor furniture"", ""Refrigerator"", ""Washer"", ""TV"", ""Drying rack for clothing"", ""Blender"", ""Shower gel"", ""Smoke alarm"", ""Body soap"", ""Record player"", ""Iron"", ""Lockbox"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Outdoor dining area"", ""Barbecue utensils"", ""Carbon monoxide alarm"", ""Private entrance"", ""Central heating"", ""Self check-in"", ""Cleaning products"", ""Private backyard \u2013 Fully fenced"", ""BBQ grill"", ""Wifi"", ""Essentials"", ""Board games"", ""Dishes and silverware"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2023-08-18,2024-08-11,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
1657,Graham,2023-04-24,No location,within an hour,t,Not specified,"['email', 'phone']",f,t,Neighborhood highlights,Hotwells & Harbourside,Entire rental unit,Entire home/apt,1 bath,"[""Hot water"", ""Exterior security cameras on property"", ""Kitchen"", ""Hair dryer"", ""Clothing storage: walk-in closet, closet, and dresser"", ""TV"", ""Samsung refrigerator"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Free dryer \u2013 In unit"", ""Iron"", ""Paid street parking off premises"", ""Keypad"", ""Luggage dropoff allowed"", ""Harbor view"", ""Dedicated workspace"", ""Long term stays allowed"", ""Central heating"", ""Self check-in"", ""Cleaning products"", ""Central air conditioning"", ""Hangers"", ""Radiant heating"", ""Wifi"", ""Essentials""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2023-06-11,2024-08-10,,,21.2,51.5,-2.5,6.0,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,30.0,3.7,,,,,,,,4.4
1658,Louis,2022-12-16,No location,within an hour,f,Not specified,"['email', 'phone']",t,t,No specified,Hartcliffe & Withywood,Entire rental unit,Entire home/apt,2 baths,"[""Clothing storage: wardrobe"", ""Dining table"", ""Freezer"", ""Wine glasses"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Coffee maker: Keurig coffee machine"", ""Refrigerator"", ""Washer"", ""Drying rack for clothing"", ""Blender"", ""Patio or balcony"", ""Smoke alarm"", ""Iron"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Coffee"", ""Central heating"", ""Free parking on premises"", ""Cleaning products"", ""Hangers"", ""55 inch HDTV with Netflix"", ""Wifi"", ""Essentials"", ""Hot water kettle"", ""Dishes and silverware"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2023-05-29,2024-02-16,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
1659,Tom,2018-07-06,"England, United Kingdom",within a day,f,Not specified,"['email', 'phone', 'work_email']",t,t,No specified,Cotham,Private room in home,Private room,1 bath,"[""Paid parking on premises"", ""Indoor fireplace"", ""Central heating"", ""Free parking on premises"", ""Cleaning products"", ""Room-darkening shades"", ""Exterior security cameras on property"", ""Wifi"", ""Essentials"", ""Shower gel"", ""Shampoo"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Dedicated workspace""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2023-07-09,2024-07-02,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
1660,Alexandra,2016-01-24,"Bristol, United Kingdom",within an hour,f,Not specified,"['email', 'phone']",t,f,Neighborhood highlights,Bedminster,Entire home,Entire home/apt,2.5 baths,"[""Standalone high chair - available upon request"", ""Private patio or balcony"", ""Dining table"", ""Laundromat nearby"", ""Dishwasher"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Coffee maker: french press"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Gas stove"", ""Double oven"", ""Outdoor furniture"", ""Refrigerator"", ""Washer"", ""TV"", ""Drying rack for clothing"", ""Blender"", ""EV charger"", ""Smoke alarm"", ""Children\u2019s dinnerware"", ""Iron"", ""Fire pit"", ""Lockbox"", ""Baby safety gates"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Pack \u2019n play/Travel crib - available upon request"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Children\u2019s books and toys for ages 2-5 years old and 5-10 years old"", ""Coffee"", ""Clothing storage"", ""Central heating"", ""Self check-in"", ""Cleaning products"", ""Baking sheet"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""BBQ grill"", ""Wifi"", ""Essentials"", ""Board games"", ""Dishes and silverware"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,31/12/2030,31/12/2030,,,21.2,51.5,-2.5,6.0,1.0,3.0,3.0,4.0,1125.0,4.0,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
1661,Everton,2019-02-10,"Bristol, United Kingdom",within an hour,t,Not specified,"['email', 'phone']",t,t,No specified,Easton,Entire rental unit,Entire home/apt,1 bath,"[""Clothing storage: closet, wardrobe, and dresser"", ""Dining table"", ""Laundromat nearby"", ""Room-darkening shades"", ""Freezer"", ""Wine glasses"", ""Hot water"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Single level home"", ""Refrigerator"", ""Washer"", ""TV"", ""Drying rack for clothing"", ""Shower gel"", ""Smoke alarm"", ""Iron"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""First aid kit"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""Central heating"", ""Cleaning products"", ""Stainless steel oven"", ""Shared patio or balcony"", ""Hangers"", ""Wifi"", ""Essentials"", ""Hot water kettle"", ""Dishes and silverware"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,t,2024-05-27,2024-07-07,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
1662,Leah,2016-02-03,"Bristol, United Kingdom",within an hour,t,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Bedminster,Entire home,Entire home/apt,2 baths,"[""Dining table"", ""Dishwasher"", ""Stove"", ""Freezer"", ""Hot water"", ""Coffee maker"", ""Indoor fireplace"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""High chair"", ""Refrigerator"", ""Washer"", ""TV"", ""Smoke alarm"", ""Children\u2019s dinnerware"", ""Iron"", ""Lockbox"", ""Baby safety gates"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Children\u2019s books and toys"", ""First aid kit"", ""Pack \u2019n play/Travel crib - available upon request"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Central heating"", ""Self check-in"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Free dryer \u2013 In building"", ""Wifi"", ""Hot water kettle"", ""Fire extinguisher"", ""Dishes and silverware"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2023-05-08,2024-09-09,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
1663,Julie,2023-04-27,"Bristol, United Kingdom",within an hour,t,Not specified,"['email', 'phone']",t,f,Neighborhood highlights,Brislington West,Private room in home,Private room,1.5 shared baths,"[""Laundromat nearby"", ""Room-darkening shades"", ""Portable fans"", ""Hot water"", ""Bed linens"", ""Hair dryer"", ""Conditioner"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Iron"", ""Lock on bedroom door"", ""Bathtub"", ""Free street parking"", ""Extra pillows and blankets"", ""Host greets you"", ""Carbon monoxide alarm"", ""Clothing storage"", ""Central heating"", ""Cleaning products"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2023-05-17,2024-09-20,,,21.2,51.5,-2.5490057,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,34.0,4.0,,,,,,,,3.69
1664,Vicky,2014-06-26,"Bristol, United Kingdom",within an hour,f,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Lockleaze,Entire home,Entire home/apt,1.5 baths,"[""Room-darkening shades"", ""Portable fans"", ""Changing table"", ""Indoor fireplace"", ""Bed linens"", ""Pets allowed"", ""Baby monitor"", ""Kitchen"", ""Conditioner"", ""Shampoo"", ""Refrigerator"", ""Washer"", ""Drying rack for clothing"", ""Shower gel"", ""Smoke alarm"", ""Children\u2019s dinnerware"", ""Iron"", ""Fire pit"", ""Lockbox"", ""Bathtub"", ""Cooking basics"", ""Children\u2019s books and toys"", ""First aid kit"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Central heating"", ""Backyard"", ""Cleaning products"", ""Free parking on premises"", ""Self check-in"", ""Wifi"", ""Essentials"", ""Board games"", ""High chair"", ""Dishes and silverware""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2023-10-02,2023-10-02,,,21.2,51.48528373113273,-2.5,7.0,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
1665,Louis,2022-12-16,No location,within an hour,f,Not specified,"['email', 'phone']",t,t,No specified,Hartcliffe & Withywood,Entire rental unit,Entire home/apt,2 baths,"[""Cleaning available during stay"", ""Oven"", ""Dining table"", ""Freezer"", ""Wine glasses"", ""Coffee maker"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Refrigerator"", ""Washer"", ""Drying rack for clothing"", ""Smoke alarm"", ""Clothing storage: closet"", ""Iron"", ""55 inch HDTV"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Coffee"", ""Central heating"", ""Free parking on premises"", ""Cleaning products"", ""Baking sheet"", ""Wifi"", ""Essentials"", ""Hot water kettle"", ""Dishes and silverware"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2023-09-03,2024-07-07,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
